objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7911470",5G NR,AMSTERDAM,2020/08/16,2020/09/16,5G NR,Amsterdam,121426,487412,1012JS,4567736857
"7911471",5G NR,NUNSPEET,1997/12/17,2021/04/22,5G NR,Nunspeet,185088,487412,8072PL,3161228400
"7911472",5G NR,AMSTERDAM,1995/07/19,2020/07/21,5G NR,Amsterdam,123308,487435,1018KB,6476860224
"7911473",5G NR,ALMERE,2001/09/21,2020/07/21,5G NR,Almere,148512,487371,1329BN,378867967
"7911474",5G NR,AMSTERDAM,1999/05/11,2020/07/21,5G NR,Amsterdam,116250,487560,1064GX,1360881488
"7911475",5G NR,ALBERGEN,2007/09/18,2021/10/14,5G NR,Tubbergen,248454,488334,7665RJ,152095367
"7911476",5G NR,ALMERE,2020/06/21,2020/07/21,5G NR,Almere,143345,487516,1314CH,8662521688
"7911477",5G NR,AMSTERDAM,2011/11/30,2020/07/21,5G NR,Amsterdam,122385,487670,1011DL,5026681695
"7911478",5G NR,HAARLEM,2010/07/13,2020/07/21,5G NR,Haarlem,102592,487896,2014VS,5392118243
"7911479",5G NR,ALMERE,2006/09/29,2020/07/21,5G NR,Almere,140590,487640,1361AH,3188335755
"7911480",5G NR,AMSTERDAM,2020/06/21,2020/07/21,5G NR,Amsterdam,121787,487747,1012AC,8132906922
"7911481",5G NR,HAARLEM,2011/05/10,2021/02/27,5G NR,Haarlem,103900,487970,2011GX,2013489344
