objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7909016",LTE,Hoensbroek,2020/08/06,2020/08/06,LTE,Heerlen,192977,326147,6431LR,3621385611
"7909017",LTE,Hoensbroek,2020/08/06,2020/08/06,LTE,Heerlen,193415,326453,6431HH,837372018
"7909018",LTE,Brunssum,2005/05/03,2019/12/11,LTE,Brunssum,198953,326626,6445PA,1649375023
"7909010",LTE,Landgraaf,2019/07/08,2019/07/08,LTE,Landgraaf,202148,325446,6374GB,8656563674
"7909019",LTE,Maastricht-Airport,2020/09/17,2020/09/17,LTE,Beek,182715,326519,6199AH,3907446699
"7909020",LTE,Nuth,2015/05/12,2015/05/12,LTE,Nuth,189852,326787,6361HD,1036588318
"7909021",LTE,Heerlen,2020/08/06,2020/08/06,LTE,Heerlen,192304,326873,6431AA,5215046925
"7909022",LTE,Brunssum,2016/09/15,2016/09/23,LTE,Brunssum,194234,327111,6446AZ,615918504
"7909023",LTE,Brunssum,2015/07/24,2015/07/24,LTE,Brunssum,194680,327216,6446AX,8009371235
"7909024",LTE,Hoensbroek,2015/09/03,2015/10/28,LTE,Heerlen,193143,327270,6431GZ,5761860900
"7909025",LTE,Brunssum,2020/09/04,2020/09/04,LTE,Brunssum,196229,327487,6445CL,8560532262
"7909026",LTE,Beek (LB),2021/04/08,2021/04/08,LTE,Beek,183678,327990,6191JK,674212749
"7909027",LTE,Elsloo (LB),2015/05/19,2015/12/09,LTE,Stein,181692,328105,6181JG,4897225182
"7909028",LTE,Beek (LB),2021/03/25,2021/03/25,LTE,Beek,183210,328154,6191AX,2842000305
"7909029",LTE,Spaubeek,2015/05/18,2019/12/11,LTE,Beek,187757,328274,6176AT,8275141586
"7909030",LTE,Brunssum,2021/06/10,2021/06/10,LTE,Brunssum,196046,328424,6444AT,9952424644
"7909031",LTE,Beek (LB),2015/05/18,2015/12/09,LTE,Beek,184253,328596,6191XB,463821276
"7909032",LTE,Brunssum,2020/12/17,2020/12/17,LTE,Brunssum,197723,328707,6443WZ,8639281646
